

** FIXED POINT METHOD IMPLEMENTATION **
--------------------------------------------------
Iteration-1 | xr = 1.000000 | f(xr) = 632.000000  | error 0.000000%
Iteration-188 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-189 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-190 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-191 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-192 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-193 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-194 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-195 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-196 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-197 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-198 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-199 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-200 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-201 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-202 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-203 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-204 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-205 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-206 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-207 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-208 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-209 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-210 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-211 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-212 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-213 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-214 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-215 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-216 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-217 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-218 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-219 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-220 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-221 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-222 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-223 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-224 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-225 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-226 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-227 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-228 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-229 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-230 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-231 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-232 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-233 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-234 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-235 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-236 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-237 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-238 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-239 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-240 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-241 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-242 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-243 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-244 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-245 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-246 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-247 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-248 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-249 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-250 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-251 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-252 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-253 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-254 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-255 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-256 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-257 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-258 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-259 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-260 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-261 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-262 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-263 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-264 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-265 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-266 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-267 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-268 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-269 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-270 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-271 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-272 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-273 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-274 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-275 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-276 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-277 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-278 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-279 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-280 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-281 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-282 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-283 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-284 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-285 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-286 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-287 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-288 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-289 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-290 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-291 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-292 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-293 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-294 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-295 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-296 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-297 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-298 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-299 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-300 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-301 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-302 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-303 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-304 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-305 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-306 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-307 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-308 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-309 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-310 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-311 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-312 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-313 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-314 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-315 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-316 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-317 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-318 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-319 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-320 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-321 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-322 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-323 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-324 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-325 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-326 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-327 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-328 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-329 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-330 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-331 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-332 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-333 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-334 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-335 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-336 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-337 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-338 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-339 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-340 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-341 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-342 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-343 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-344 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-345 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-346 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-347 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-348 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-349 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-350 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-351 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-352 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-353 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-354 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-355 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
Iteration-356 | xr = 0.754878 | f(xr) = 7.343602  | error 0.000000%
